Canton,Mean_Price,Price_Trend,Adoption_Rate,Total_Installation
Aargau,0.24484802980802725,23.689863307194354,30.155856751275724,437235.8888888889
Appenzell Ausserrhoden,0.2378059711526821,19.611866797073052,32.99528976540113,45979.11111111111
Appenzell Innerrhoden,0.2341869994371876,19.71838309197543,23.86337274310418,21070.0
Basel Landschaft,0.24542382747787747,17.952067303430642,22.257711806480476,154513.88888888888
Basel Stadt,0.2885316102532112,7.474562278646904,15.909558261298265,41864.0
Bern,0.23705224080778886,7.865420508268998,22.63629484676882,647895.8888888889
Fribourg,0.2365975429590598,17.40399608958759,21.54157225749797,296259.6666666667
Geneva,0.22699243391799526,14.201396282892881,20.901160642209557,115170.44444444444
Glarus,0.2559255256908384,17.624540045258005,41.772646316314756,25369.444444444445
Grisons,0.2411653220259856,14.462853418063768,20.94935519124518,138613.55555555556
Jura,0.23636858508339595,6.733354936650297,20.497853883902525,85723.44444444444
Lucerne,0.2413400643816144,22.608228921959025,23.74969380142214,399465.4444444445
Neuchâtel,0.26414312832167214,19.69974366759246,23.731679893722326,109531.22222222222
Nidwalden,0.18122595824866092,5.855771075155617,32.618861885244435,23253.0
Obwalden,0.24726999911880343,14.931988846328968,21.32257871472599,30164.0
Schaffhausen,0.22587845009403928,17.892846353366142,22.24787503229976,48907.66666666666
Schwyz,0.2541360520678279,20.5786663150469,28.26786150677748,94801.77777777778
Solothurn,0.25539767917143247,16.998878767864127,20.45501544758646,194964.44444444444
St Gallen,0.24435608560385394,19.847594127781957,24.187476150863546,442869.0
Thurgau,0.2395783897995969,19.05716181627427,25.815455669430275,314544.44444444444
Ticino,0.2500379489581842,16.275242245454223,31.030396026267653,234354.88888888888
Uri,0.2507486467904221,17.130074900903637,37.170017163299384,17198.666666666668
Valais,0.24768424064581449,22.05821702144956,23.524775910303692,231806.5555555556
Vaud,0.26076794697832334,16.064077519272317,20.53873807574665,457264.1111111111
Zug,0.2558883136886129,20.239858801883532,21.562942305353914,70658.11111111111
Zurich,0.22021125762389468,17.69750481120676,27.597183132676317,515065.3333333333
